County,state,cases,deaths,Age.Percent 65 and Older,Age.Percent Under 18 Years,Age.Percent Under 5 Years,Education.Bachelor's Degree or Higher,Education.High School or Higher,Employment.Nonemployer Establishments,Ethnicities.American Indian and Alaska Native Alone,Ethnicities.Asian Alone,Ethnicities.Black Alone,Ethnicities.Hispanic or Latino,Ethnicities.Native Hawaiian and Other Pacific Islander Alone,Ethnicities.Two or More Races,Ethnicities.White Alone,"Ethnicities.White Alone	 not Hispanic or Latino",Housing.Homeownership Rate,Housing.Households,Housing.Housing Units,Housing.Median Value of Owner-Occupied Units,Housing.Persons per Household,Income.Median Houseold Income,Income.Per Capita Income,Miscellaneous.Foreign Born,Miscellaneous.Land Area,Miscellaneous.Language Other than English at Home,Miscellaneous.Living in Same House +1 Years,Miscellaneous.Manufacturers Shipments,Miscellaneous.Mean Travel Time to Work,Miscellaneous.Percent Female,Miscellaneous.Veterans,Population.2020 Population,Population.2010 Population,Population.Population per Square Mile,Sales.Accommodation and Food Services Sales,Sales.Retail Sales,Employment.Firms.Total,Employment.Firms.Women-Owned,Employment.Firms.Men-Owned,Employment.Firms.Minority-Owned,Employment.Firms.Nonminority-Owned,Employment.Firms.Veteran-Owned,Employment.Firms.Nonveteran-Owned
Patrick County,Virginia,3706,98,26.8,17.3,4.2,15.2,80.2,1032,0.6,0.3,5.3,3.2,0.1,1.3,92.5,89.7,79,7755,10266,120000,2.24,43073,24292,1.3,483.1,4.2,89.4,189246,30.3,50.4,1089,17608,18490,38.3,7016,204632,1197,221,849,50,1113,88,1051
Bedford County,Virginia,17276,240,21.8,19.7,4.6,29.2,90,5506,0.4,1.2,7.2,2.4,0,1.6,89.6,87.6,82.1,31317,37040,201900,2.49,64199,33678,2.9,753.02,4.4,87,-1,27.2,50.8,6607,79462,68676,91.2,28890,521240,4688,1385,2592,311,4257,567,3799
Westmoreland County,Virginia,3284,52,25.6,19.1,5.4,19.2,84.5,1204,0.8,0.9,26.1,6.9,0.1,2.9,69.2,63.8,73.2,7923,11060,199100,2.22,53853,32996,3.9,229.38,5.9,88,167041,42.6,51.2,2024,18477,17454,76.1,-1,109793,1250,464,680,216,996,256,907
Appomattox County,Virginia,3817,53,21.2,21,5.8,20.9,85.9,959,0.3,0.4,18.5,1.9,0.1,2,78.7,77.1,77.8,6091,7424,158800,2.57,58696,28586,1.2,333.49,1.7,94.6,-1,29.5,51.5,1407,16119,14973,44.9,-1,143824,962,253,616,117,796,80,806
Washington County,Virginia,13910,215,23.6,18,4.3,22.8,85.7,3428,0.2,0.5,1.5,1.6,0.1,0.9,96.7,95.3,75.2,22321,26018,151800,2.34,48495,27524,1.4,560.98,1.9,88.3,1095566,25.5,50.7,3537,53935,54876,97.8,-1,820491,4551,1204,2722,189,4124,542,3669
Prince Edward County,Virginia,5107,71,17,16,4.8,26.8,86,1014,0.3,1.4,32.8,3,0.1,2,63.4,61.2,64.4,7185,9501,159700,2.45,47202,21017,5.1,349.96,6.7,87,-1,23,50,1265,21849,23368,66.8,49916,390494,1170,373,588,280,796,188,850
Gloucester County,Virginia,7453,104,19.6,19.9,5,23.3,89.6,2443,0.6,0.9,8,3.8,0.1,2.7,87.8,84.7,78.2,14786,16857,230000,2.5,70537,33692,1.7,217.81,2.9,90.4,22059,33.8,50.8,4341,38711,36858,169.2,40449,496201,3133,841,1851,203,2811,455,2517
Caroline County,Virginia,6976,85,16.9,22.8,6.3,19.9,85.1,1829,0.8,1.1,27.2,5.2,0.1,3.6,67.2,63.2,79.2,10946,12417,206000,2.57,65103,31568,3.7,527.51,5.7,83.5,76113,35.1,50.5,2613,30887,28545,54.1,18500,404165,2177,868,1061,601,1540,266,1844
Roanoke County,Virginia,21633,282,21.8,19.7,4.4,35.6,92.3,5919,0.2,3.5,6.4,3.3,0,1.9,87.9,85.2,74.8,38222,41096,199800,2.4,68948,36469,5.7,250.52,6.9,88.1,815656,23.6,51.8,6541,96929,92376,368.7,128289,891006,6344,2241,3432,559,5523,721,5168
Giles County,Virginia,4115,50,22.4,20.4,5.3,18.1,88.9,885,0.3,0.6,1.6,1.8,0,1.3,96.3,94.7,75.1,6910,8368,123200,2.41,54520,27137,1,355.78,1.9,90.5,-1,25.3,50.6,983,16787,17286,48.6,18339,184035,1177,389,666,31,1097,229,898
